id,length,azimuth
,0.652,"48"
,0.314,"95"
,2.083,"92"
,0.504,"142"
,0.970,"107"
,0.906,"120"
,1.885,"130"
,0.947,"130"
,0.389,"131"
,0.468,"130"
,0.703,"124"
,3.428,"86"
,0.333,"43"
,6.141,"79"
,1.509,"65"
,0.185,"145"
,0.571,"106"
,0.695,"91"
,2.268,"127"
,1.526,"133"
,4.734,"68"
,0.763,"125"
,0.627,"143"
,0.835,"120"
,3.766,"84"
,1.067,"92"
,0.641,"51"
,1.403,"110"
,0.319,"80"
,1.816,"111"
,0.519,"129"
,0.602,"114"
,0.577,"122"
,0.334,"121"
,6.216,"127"
,2.368,"79"
,0.567,"19"
,0.283,"79"
,7.174,"91"
,12.015,"130"
,2.283,"71"
,1.129,"134"
,0.910,"131"
,0.286,"62"
,3.480,"72"
,2.840,"100"
,1.209,"94"
,1.736,"93"
,0.505,"41"
,0.319,"20"
,0.482,"86"
,1.657,"94"
,0.682,"129"
,0.293,"64"
,0.271,"111"
,0.582,"140"
,0.407,"179"
,0.778,"109"
,0.845,"101"
,0.285,"43"
,0.236,"30"
,0.151,"12"
,0.146,"31"
,1.505,"86"
,0.711,"75"
,1.214,"132"
,0.287,"51"
,0.528,"138"
,0.648,"135"
,0.404,"157"
,0.541,"154"
,0.910,"52"
,0.348,"55"
,0.473,"42"
,11.795,"129"
,0.461,"151"
,0.318,"146"
,1.295,"137"
,0.278,"51"
,0.316,"57"
,0.282,"99"
,1.341,"118"
,0.365,"162"
,0.833,"55"
,0.285,"125"
,0.325,"115"
,0.764,"76"
,0.271,"134"
,0.579,"59"
,5.083,"91"
,3.823,"88"
,5.303,"91"
,3.303,"98"
,1.695,"99"
,2.625,"93"
,0.905,"171"
,4.628,"91"
,0.658,"92"
,0.580,"87"
,2.347,"129"
,2.337,"96"
,1.147,"95"
,0.538,"119"
,0.262,"137"
,1.095,"136"
,0.493,"97"
,2.622,"90"
,0.512,"162"
,0.299,"167"
,1.692,"71"
,1.115,"95"
,0.479,"36"
,0.573,"96"
,0.854,"77"
,1.374,"71"
,0.799,"68"
,0.243,"110"
,0.325,"171"
,0.277,"173"
,0.520,"91"
,0.436,"167"
,0.416,"106"
,0.784,"111"
,0.835,"138"
,1.356,"97"
,0.139,"140"
,0.183,"164"
,0.931,"128"
,0.347,"89"
,0.931,"92"
,0.517,"127"
,1.008,"90"
