geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-16.161287101985252 -4.07384159310493 0, -16.210184835316333 -3.9940206332986117 0)",146,fracture,0,2,0.0936,,,-9999
"LINESTRING Z (-16.210184835316333 -3.9940206332986117 0, -17.329229970423885 -2.167284491030474 0)",147,fracture,0,2,2.1422,,,-9999
"LINESTRING Z (-17.329229970423885 -2.167284491030474 0, -17.71267893770256 -1.541340044941593 0)",148,fracture,0,2,0.7341,,,-9999
"LINESTRING Z (-17.71267893770256 -1.541340044941593 0, -17.924556801443075 -1.195469320608245 0)",149,fracture,0,2,0.4056,,,-9999
"LINESTRING Z (-17.924556801443075 -1.195469320608245 0, -18.28225366119925 -0.6115627727909203 0)",150,fracture,1,2,0.6848,,,-9999
"LINESTRING Z (-18.658809518010425 0.0031293174915841 0, -18.658809518010425 0.0031293174915852 0, -18.658809518010425 0.0031293174915852 0, -19.69271431766478 1.690881853953477 0)",151,fracture,1,2,1.9793,,,-9999
"LINESTRING Z (-19.69271431766478 1.690881853953477 0, -19.989961898754334 2.176110628506776 0)",152,fracture,0,2,0.569,,,-9999
"LINESTRING Z (-19.989961898754334 2.176110628506776 0, -20.2304102123747 2.5686199304622614 0, -20.2304102123747 2.5686199304622614 0, -20.2304102123747 2.5686199304622632 0)",153,fracture,1,2,0.4603,,,-9999
"LINESTRING Z (-20.41442341350055 2.869004208634156 0, -20.853058193236834 3.5850343134637326 0, -20.853058193236834 3.5850343134637326 0, -20.853058193236834 3.585034313463733 0)",154,fracture,1,2,0.8397,,,-9999
"LINESTRING Z (-21.562994609974506 4.743938874576373 0, -21.566338357447446 4.749397228460239 0, -21.566338357447446 4.749397228460239 0, -21.571408725174933 4.757674127837938 0)",155,fracture,1,2,0.0161,,,-9999
"LINESTRING Z (-21.571408725174933 4.757674127837938 0, -21.68007893248725 4.935068040788639 0)",156,fracture,0,2,0.208,,,-9999
"LINESTRING Z (-21.68007893248725 4.935068040788639 0, -21.81574772559331 5.156534610786216 0)",157,fracture,0,2,0.2597,,,-9999
"LINESTRING Z (-21.81574772559331 5.156534610786216 0, -22.070009166642578 5.571592546680136 0)",158,fracture,0,2,0.4867,,,-9999
"LINESTRING Z (-22.070009166642578 5.571592546680136 0, -23.38389987246018 7.716395793670293 0)",159,fracture,0,2,2.5153,,,-9999
"LINESTRING Z (-23.38389987246018 7.716395793670293 0, -23.469953967502132 7.856871026233815 0)",160,fracture,0,2,0.1647,,,-9999
"LINESTRING Z (-23.469953967502132 7.856871026233815 0, -23.666966447137177 8.178475406375833 0)",161,fracture,0,2,0.3772,,,-9999
"LINESTRING Z (-23.666966447137177 8.178475406375833 0, -23.780419096172448 8.36367620652843 0)",162,fracture,0,2,0.2172,,,-9999
"LINESTRING Z (-23.780419096172448 8.36367620652843 0, -24.07726361553935 8.848247020653472 0)",163,fracture,0,2,0.5683,,,-9999
