type;n_type;n_index;n_origin;geometry;og_line_id
node;3;1493;[2 1];POINT Z (410129.287263553 5081044.319966103 0);499
node;3;1495;[1];POINT Z (410129.27596665174 5081044.349365261 0);500
node;3;1511;[1 2];POINT Z (410117.8489001106 5081040.360378163 0);505
node;3;1512;[1];POINT Z (410117.9342034173 5081040.289472794 0);506
node;3;1515;[1 2];POINT Z (410117.88626853673 5081040.385442351 0);508
node;3;1519;[1 2];POINT Z (410119.0276783102 5081041.277372941 0);510
node;3;1523;[1 2];POINT Z (410118.7797743446 5081041.117724867 0);512
node;3;1525;[2 1];POINT Z (410118.70775451197 5081040.670923862 0);514
node;3;1534;[1 2];POINT Z (410123.4328756921 5081041.380520942 0);517
node;3;1542;[1 2];POINT Z (410123.8677930505 5081041.648920305 0);521
node;3;1545;[2 1];POINT Z (410125.8014366419 5081043.242129635 0);523
node;3;1547;[2 1];POINT Z (410125.97994055704 5081043.068454451 0);524
node;3;1548;[1 2];POINT Z (410126.2651046757 5081042.809262216 0);525
node;3;1560;[1];POINT Z (410124.6094614339 5081042.78130939 0);529
node;3;1575;[1];POINT Z (410126.86856601073 5081044.3792238375 0);533
node;3;1576;[1];POINT Z (410126.9219218702 5081044.356290178 0);534
node;3;1584;[2 1];POINT Z (410126.7938014064 5081044.549129022 0);538
node;3;1611;[1];POINT Z (410134.6240700414 5081020.129768117 0);544
node;3;1616;[1 2];POINT Z (410135.18852430396 5081019.8794079935 0);547
node;3;1618;[1 2];POINT Z (410135.3814365753 5081019.759350617 0);548
node;3;1619;[1 2];POINT Z (410135.47585583845 5081019.852718371 0);549
node;3;1661;[2 1];POINT Z (410107.89492399764 5081043.491559316 0);565
node;3;1662;[2 1];POINT Z (410107.92310848704 5081043.4759337185 0);566
node;3;1674;[2 1];POINT Z (410103.5901928323 5081048.993587601 0);569
node;3;1684;[2 1];POINT Z (410103.5901999274 5081048.760161657 0);572
node;3;1707;[1 2];POINT Z (410103.3690581589 5081048.629079897 0);581
node;3;1708;[1 2];POINT Z (410109.1391570079 5081049.612268603 0);582
node;3;1716;[1];POINT Z (410109.2345946109 5081049.237200251 0);585
node;3;1718;[1];POINT Z (410109.89545223006 5081049.094147157 0);586
node;3;1728;[1 2];POINT Z (410108.5760506942 5081049.38057328 0);590
node;3;1734;[2 1];POINT Z (410108.58764824545 5081050.1245685695 0);593
node;3;1751;[2 1];POINT Z (410103.4510619416 5081044.027129045 0);598
node;3;1755;[1 2];POINT Z (410099.8349440677 5081045.213073942 0);600
node;3;1760;[1];POINT Z (410103.8850246715 5081044.106237517 0);604
node;3;1771;[2 1];POINT Z (410105.0365290172 5081043.227683243 0);607
node;3;1774;[1];POINT Z (410105.2720033304 5081043.006597641 0);608
